Transaction_Type,Account_Balance,Device_Type,Location,Merchant_Category,Card_Type,Card_Age,Authentication_Method,Risk_Score,Is_Weekend,Transaction_Month,Transaction_Day,Transaction_Hour,Transaction_DayOfWeek,Failed_Transaction_Rate,Transaction_Ratio
Bank Transfer,90074.02,Mobile,Sydney,Groceries,Amex,132.0,PIN,0.4965,1,6,11,8,6,0.0,0.01511257719304975
Bank Transfer,38164.67,Tablet,New York,Groceries,Discover,135.0,OTP,0.1411,0,6,6,7,1,3.0,0.1577984656965792
ATM Withdrawal,23388.6,Laptop,New York,Groceries,Mastercard,167.0,Password,0.0206,0,9,15,5,4,0.8,0.1715256896326317
POS,50155.75,Mobile,Mumbai,Restaurants,Visa,93.0,PIN,0.8173,0,11,7,5,1,0.5,0.2844600295296351
ATM Withdrawal,8564.06,Tablet,Tokyo,Electronics,Discover,215.0,OTP,0.4063,1,8,13,4,6,0.14285714285714285,0.9415867205251199
ATM Withdrawal,71080.13,Mobile,New York,Travel,Discover,229.0,OTP,0.7888,1,9,9,21,5,0.4,0.169009009009009
POS,19270.29,Mobile,Mumbai,Travel,Visa,123.0,Password,0.2788,1,7,29,11,5,0.23076923076923078,0.08258299453769985
Online,49823.54,Tablet,London,Electronics,Discover,230.0,Password,0.6014,1,12,24,4,6,0.3333333333333333,0.05151093043750178
POS,77344.42,Mobile,Sydney,Restaurants,Mastercard,119.0,PIN,0.9132,0,2,8,7,2,0.0,0.2264850174707938
POS,83270.96,Tablet,Sydney,Electronics,Discover,49.0,OTP,0.4291,1,7,22,5,5,1.0,0.03128440183343008
Bank Transfer,4919.65,Tablet,Tokyo,Groceries,Mastercard,223.0,PIN,0.3726,0,11,21,13,1,0.0,0.1617481414733048
ATM Withdrawal,7530.54,Laptop,unknown,Groceries,Visa,172.0,Biometric,0.1261,0,4,3,5,0,1.5,0.09306830089226177
POS,84134.2,Tablet,Sydney,Restaurants,Amex,226.0,Password,0.819,1,2,19,16,6,0.0,0.2932839767318879
Online,81223.68,Laptop,New York,Groceries,Discover,8.0,OTP,0.0739,0,1,31,14,1,2.0,0.10463686660226573
Online,69371.55,Mobile,Sydney,Clothing,Mastercard,5.0,OTP,0.8755,1,2,4,8,5,0.2857142857142857,0.8541821720959524
POS,11157.4,Tablet,London,Restaurants,Mastercard,169.0,Biometric,0.585,0,2,6,1,0,0.0,0.37261744966442956
Online,52513.16,Laptop,Mumbai,Electronics,Visa,148.0,OTP,0.9476,0,12,12,21,1,3.0,1.1828607549214378
Bank Transfer,19044.02,Mobile,Sydney,Electronics,Mastercard,227.0,Password,0.877,1,7,16,3,6,0.21428571428571427,0.12308632632865708
ATM Withdrawal,93028.69,Mobile,New York,Restaurants,Discover,234.0,Biometric,0.9868,1,9,30,4,5,0.4,0.7694336757124016
